,Episode,Key,Line,Sender,Recipient,Origin,Destination,Event,Description
38,S02E08 The Prince Of Winterfell,753,I'd leave 'em up a few more days. Sends a message.,NaN,NaN,NaN,NaN,Delete,NaN
39,S02E08 The Prince Of Winterfell,754,"If they haven't got the damn message yet, a few more days won't help.",NaN,NaN,NaN,NaN,Delete,NaN
40,S02E10 Valar Morghulis,297,Send more ravens.,Theon_Greyjoy,Balon_Greyjoy,Winterfell,Iron_Islands,Message,Theon sends word to his father
41,S02E10 Valar Morghulis,298,You killed all the ravens.,NaN,NaN,NaN,NaN,Delete,NaN
42,S03E01 Valar Dohaeris,3,Did you send the ravens?, Samwell_Tarley,Maester_Aemon,Beyond_The_Wall,Castle_Black,Failed,Samwell fails to send a raven warning of wight-walkers
43,S03E01 Valar Dohaeris,5,Did you send the ravens?, Samwell_Tarley,Maester_Aemon,Beyond_The_Wall,Castle_Black,Failed,Samwell fails to send a raven warning of wight-walkers
44,"S03E02 Dark Wings, Dark Words",12,"No, it was the three-eyed raven.",NaN,NaN,NaN,NaN,Delete,NaN
45,"S03E02 Dark Wings, Dark Words",23,The three-eyed raven tell you?,NaN,NaN,NaN,NaN,Delete,NaN
46,"S03E02 Dark Wings, Dark Words",661,A three-eyed raven?,NaN,NaN,NaN,NaN,Delete,NaN
47,"S03E02 Dark Wings, Dark Words",665,"No, the raven is something different, something deeper.",NaN,NaN,NaN,NaN,Delete,NaN
48,"S03E02 Dark Wings, Dark Words",666,The raven brings the sight.,NaN,NaN,NaN,NaN,Delete,NaN
49,"S03E02 Dark Wings, Dark Words",7,Because the raven is you.,NaN,NaN,NaN,NaN,Delete,NaN
50,S03E07 The Bear And The Maiden Fair,563,Talking about visions and three-eyed ravens and worse.,NaN,NaN,NaN,NaN,Delete,NaN
51,S03E07 The Bear And The Maiden Fair,577,Bran needs to find the raven beyond the Wall.,NaN,NaN,NaN,NaN,Delete,NaN
52,S03E07 The Bear And The Maiden Fair,581,The raven's been coming to me ever since I fell from that tower.,NaN,NaN,NaN,NaN,Delete,NaN
53,S03E07 The Bear And The Maiden Fair,592,But the Gods wouldn't spare a raven's cold shit for you or me or anyone.,NaN,NaN,NaN,NaN,Delete,NaN
54,S03E07 The Bear And The Maiden Fair,648,You were in charge of the ravens at Harrenhal.,Qyburn,Selwyn_Tarth,Harrenhal,Evenfall_Hall,Message,Offer for Brienne's safe return
55,S03E09 The Rains Of Castamere,370,I have to find the three-eyed raven.,NaN,NaN,NaN,NaN,Delete,NaN
56,S03E10 Mhysa,225,"I heard he killed all the ravens. And after that, nothing.",NaN,NaN,NaN,NaN,Delete,NaN
57,S03E10 Mhysa,605,We had 44 ravens at last count.,Maester_Aemon,All_Lords,Castle_Black,All_Houses,Message,Warning that the night is coming
58,S04E03 Breaker Of Chains,404,"What was that for? - I need you to write a message.""",Stannis_Baratheon,Iron_Bank,Dragonstone,Braavos,Message,Message to implore the Iron bank to support Stannis written by Shireen
59,S04E05 First Of His Name,492,Carried his messages and returned the replies.,NaN,NaN,NaN,NaN,Delete,NaN
60,S04E05 First Of His Name,623,Do you want to find the three-eyed raven?,NaN,NaN,NaN,NaN,Delete,NaN
61,S04E10 The Children,352,We'll rest with the three-eyed raven.,NaN,NaN,NaN,NaN,Delete,NaN
62,S04E10 The Children,379,You're the three-eyed raven?,NaN,NaN,NaN,NaN,Delete,NaN
63,S05E01 The Wars To Come,145,The Sons of the Harpy will hear that message.,Daenerys_Targaryen,Sons_of_Harpy,Meereen,Meereen,Message,Daenerys plans to hold a public funeral for a dead unsullied.
64,S05E02 The House Of Black And White,314,It would send a message.,NaN,NaN,NaN,NaN,Delete,NaN
65,S05E02 The House Of Black And White,48,"Before we left, a maester gave you a raven scroll.",NaN,Petyr_Baelish,NaN,NaN,Message,Unknown
66,S05E03 High Sparrow,606,- Your Grace. - <i> Send a raven with this message</i>,Cersei_Lannister,Petyr_Baelish,Kings_Landing,Eyrie,Message,Summons
67,S05E03 High Sparrow,657,A message for you from Cersei Lannister.,Cersei_Lannister,Petyr_Baelish,Kings_Landing,Riverlands,Message,Cercei wants littlefinger to return
68,S05E03 High Sparrow,660,A message for me you say?,NaN,NaN,NaN,NaN,Delete,NaN
69,S05E05 Kill The Boy,197,I need to get a message to her.,Brienne_Tarth,Sansa_Stark,Riverlands,Winterfell,Message,Message to save Sansa from Ramsey Bolton
70,"S05E06 Unbowed, Unbent, Unbroken",275,Something so urgent I couldn't trust the words to a raven.,NaN,NaN,NaN,NaN,Delete,NaN
71,S05E07 The Gift,365,By raven or horse?,NaN,NaN,NaN,NaN,Delete,NaN
72,S05E08 Hardhome,538,wanted to burn him alive to send us a message.,NaN,NaN,NaN,NaN,Delete,NaN
73,S05E09 The Dance Of Dragons,102,"And rather than send a raven or speak to me directly,",Jaime_Lannister,Doran_Martell,Kings_Landing,Dorne,Message,Message inquiring about Myrcella
74,S05E09 The Dance Of Dragons,105,We received a threatening message.,Oberyn_Martel,Jaime_Lannister,Kings_Landing,Kings_Landing,Message,Threat included Myrcella's necklace
75,S05E09 The Dance Of Dragons,48,A boy with a scroll could deliver this message.,NaN,NaN,NaN,NaN,Delete,NaN
76,S06E02 Home,303,<i>send ravens to all the northern houses. Roose Bolton is dead.</i>,Ramsay_Bolton,Northern_Lords,Winterfell,Northern_Lords,Death,Roose Bolton (poisoned by Ramsay)
77,S06E02 Home,52,The Three-Eyed Raven says there's a war coming.,NaN,NaN,NaN,NaN,Delete,NaN
78,S06E03 Oathbreaker,317,"Tell me, can your little birds get a message",Tyrion_Lannister,Masters,Meereen,Yunkai_Astapor_Volantis,Message,Warning to obey Daenerys
