,Episode,Key,Line,Sender,Recipient,Origin,Destination,Event,Description
68,S05E03 High Sparrow,660,A message for me you say?,,,,,,
69,S05E05 Kill The Boy,197,I need to get a message to her.,,,,,,
70,"S05E06 Unbowed, Unbent, Unbroken",275,Something so urgent I couldn't trust the words to a raven.,,,,,,
71,S05E07 The Gift,365,By raven or horse?,,,,,,
72,S05E08 Hardhome,538,wanted to burn him alive to send us a message.,,,,,,
73,S05E09 The Dance Of Dragons,102,"And rather than send a raven or speak to me directly,",,,,,,
74,S05E09 The Dance Of Dragons,105,We received a threatening message.,,,,,,
75,S05E09 The Dance Of Dragons,48,A boy with a scroll could deliver this message.,,,,,,
76,S06E02 Home,303,<i>send ravens to all the northern houses. Roose Bolton is dead.</i>,,,,,,
77,S06E02 Home,52,The Three-Eyed Raven says there's a war coming.,,,,,,
78,S06E03 Oathbreaker,317,"Tell me, can your little birds get a message",,,,,,
79,S06E05 The Door,526,Ramsay received a raven before I escaped Winterfell.,,,,,,
80,S06E05 The Door,535,We can send the Blackfish a raven.,,,,,,
81,S06E06 Blood of My Blood,542,The Three-Eyed Raven sent for me.,,,,,,
82,S06E06 Blood of My Blood,543,The Three-Eyed Raven's dead.,,,,,,
83,S06E06 Blood of My Blood,565,You are the Three-Eyed Raven now.,,,,,,
84,S06E07 The Broken Man,417,We sent ravens to Houses Manderly...,,,,,,
85,S06E07 The Broken Man,418,I don't care about ravens.,,,,,,
86,S06E08 No One,291,We need to get a raven north to Sansa.,,,,,,
87,S06E09 Battle of the Bastards,132,I haven't fed them for seven days. They're ravenous.,,,,,,
88,S06E10 The Winds of Winter,303,A raven came from the Citadel.,,,,,,
89,S06E10 The Winds of Winter,304,A white raven.,,,,,,
90,S06E10 The Winds of Winter,515,I'm the Three-Eyed Raven now.,,,,,,
91,S07E01 Dragonstone,233,"A raven from King's Landing, Your Grace.",,,,,,
92,S07E01 Dragonstone,37,I'm the three-eyed raven. I have to be ready for this.,,,,,,
93,S07E01 Dragonstone,588,You think soldiers get ravens with news from home?,,,,,,
94,S07E02 Stormborn,173,Send a raven north.,,,,,,
95,S07E02 Stormborn,588,"A raven, my king, from the Citadel.",,,,,,
96,S07E02 Stormborn,589,Jon: This message was sent to me by Samwell Tarly.,,,,,,
97,S07E02 Stormborn,602,"and, if this message is to be believed,",,,,,,
98,S07E03 The Queen's Justice,668,He kept a copy of every raven scroll.,,,,,,
99,S07E03 The Queen's Justice,721,I'm the Three-Eyed Raven.,,,,,,
100,S07E03 The Queen's Justice,733,The Three-Eyed Raven taught me.,,,,,,
101,S07E03 The Queen's Justice,734,I thought you were the Three-Eyed Raven.,,,,,,
102,S07E04 The Spoils Of War,293,( raven cawing ),,,,,,
103,S07E05 Eastwatch,219,( ravens cawing ),,,,,,
104,S07E05 Eastwatch,220,( ravens cawing ),,,,,,
105,S07E05 Eastwatch,222,Ravens.,,,,,,
106,S07E05 Eastwatch,223,We need to send ravens.,,,,,,
107,S07E05 Eastwatch,234,thanks to the magical help of a raven with three eyes?,,,,,,
108,S07E05 Eastwatch,260,It's also possible that this message,,,,,,
109,S07E05 Eastwatch,284,The ravenry was falling apart the last time I checked.,,,,,,
110,S07E06 Beyond The Wall,529,"Get a raven to Daenerys, tell her what's happened.",,,,,,
111,S07E06 Beyond The Wall,550,"Raven, we need to send a raven.",,,,,,
112,S07E06 Beyond The Wall,577,Jon: There's a raven flying for Dragonstone now.,,,,,,
113,S07E07 The Dragon And The Wolf,478,Littlefinger: It's not easy for ravens to fly in these storms.,,,,,,
114,S07E07 The Dragon And The Wolf,551,I think it sends a better message.,,,,,,
115,S07E07 The Dragon And The Wolf,854,I became the Three-Eyed Raven.,,,,,,
